Player,Tm,Year,G,MP,PER,BPM,VORP
Mario Chalmers,MIA,2012,23,819,13.2,1.3,0.7
Tyson Chandler,NYK,2012,5,167,10.0,-1.2,0.0
Earl Clark,ORL,2012,5,88,13.9,0.2,0.0
Norris Cole,MIA,2012,19,170,5.1,-4.3,-0.1
Jason Collins,ATL,2012,5,85,-2.2,-9.2,-0.1
Darren Collison,IND,2012,11,205,23.2,8.3,0.5
Nick Collison,OKC,2012,20,332,12.5,0.5,0.2
Mike Conley,MEM,2012,7,277,15.7,2.7,0.3
Daequan Cook,OKC,2012,16,109,9.9,-1.8,0.0
Dante Cunningham,MEM,2012,7,49,9.1,-1.0,0.0
Erick Dampier,ATL,2012,4,55,11.8,-2.4,0.0
Marquis Daniels,BOS,2012,15,92,12.4,0.8,0.1
Baron Davis,NYK,2012,4,97,6.0,-4.0,-0.1
Glen Davis,ORL,2012,5,190,18.8,0.2,0.1
Luol Deng,CHI,2012,6,228,14.3,3.3,0.3
Boris Diaw,SAS,2012,14,346,14.5,3.4,0.5
Keyon Dooling,BOS,2012,20,212,9.9,1.5,0.2
Toney Douglas,NYK,2012,1,8,17.5,5.1,0.0
Chris Duhon,ORL,2012,5,61,3.5,-3.5,0.0
Tim Duncan*,SAS,2012,14,463,22.9,5.0,0.8
Kevin Durant,OKC,2012,20,837,27.5,8.1,2.2
Devin Ebanks,LAL,2012,9,126,12.2,-0.4,0.1
Jeremy Evans,UTA,2012,2,7,24.9,11.9,0.0
Reggie Evans,LAC,2012,11,198,11.5,-1.0,0.0
Christian Eyenga,LAL,2012,3,9,22.5,4.5,0.0
Kenneth Faried,DEN,2012,7,192,18.0,-0.7,0.1
Derrick Favors,UTA,2012,4,116,18.5,2.2,0.1
Landry Fields,NYK,2012,5,115,11.0,0.8,0.1
Derek Fisher,OKC,2012,20,446,10.4,-0.4,0.2
Randy Foye,LAC,2012,11,291,9.2,-2.0,0.0
Enes Freedom,UTA,2012,4,43,12.7,-4.5,0.0
Danilo Gallinari,DEN,2012,7,222,13.4,-0.8,0.1
Kevin Garnett*,BOS,2012,20,737,20.5,3.9,1.1
Marc Gasol,MEM,2012,7,261,19.5,5.7,0.5
Pau Gasol*,LAL,2012,12,444,17.0,2.3,0.5
Rudy Gay,MEM,2012,7,279,14.6,0.6,0.2
Paul George,IND,2012,11,371,12.5,1.9,0.4
Taj Gibson,CHI,2012,6,137,19.8,4.1,0.2
Manu GinÃ³bili*,SAS,2012,14,390,17.0,1.8,0.4
Andrew Goudelock,LAL,2012,4,10,19.7,5.7,0.0
Danny Granger,IND,2012,11,420,12.9,0.7,0.3
Danny Green,SAS,2012,14,289,11.7,1.1,0.2
Willie Green,ATL,2012,5,63,5.7,-3.6,0.0
Blake Griffin,LAC,2012,11,393,20.8,2.8,0.5
Hamed Haddadi,MEM,2012,4,21,22.2,5.6,0.0
Jordan Hamilton,DEN,2012,2,5,24.9,3.1,0.0
Richard Hamilton,CHI,2012,6,171,13.6,0.6,0.1
Tyler Hansbrough,IND,2012,11,164,8.7,-3.3,-0.1
James Harden,OKC,2012,20,630,20.9,3.5,0.9
Justin Harper,ORL,2012,1,5,-8.7,-12.7,0.0
Josh Harrellson,NYK,2012,4,25,10.6,-3.8,0.0
Al Harrington,DEN,2012,7,163,10.4,-2.0,0.0
Devin Harris,UTA,2012,4,120,9.6,-2.3,0.0
Terrel Harris,MIA,2012,4,10,23.3,2.5,0.0
Udonis Haslem,MIA,2012,22,452,10.6,-1.6,0.0
Spencer Hawes,PHI,2012,13,332,13.7,0.5,0.2
Gordon Hayward,UTA,2012,4,123,7.1,-3.4,0.0
Lazar Hayward,OKC,2012,5,18,6.2,-5.6,0.0
Brendan Haywood,DAL,2012,4,61,7.2,-5.3,-0.1
Roy Hibbert,IND,2012,11,340,20.8,3.7,0.5
George Hill,IND,2012,11,346,17.0,4.4,0.6
Jordan Hill,LAL,2012,12,217,14.1,-4.0,-0.1
Kirk Hinrich,ATL,2012,6,141,10.1,1.0,0.1
Jrue Holiday,PHI,2012,13,494,18.0,5.5,0.9
Ryan Hollins,BOS,2012,17,170,6.0,-4.3,-0.1
Al Horford,ATL,2012,3,108,17.5,2.9,0.1
Josh Howard,UTA,2012,4,63,10.2,-0.3,0.0
Juwan Howard,MIA,2012,9,24,5.4,-6.6,0.0
Serge Ibaka,OKC,2012,20,569,18.9,2.4,0.6
Andre Iguodala,PHI,2012,13,505,13.4,2.0,0.5
Royal Ivey,OKC,2012,5,21,16.8,-0.7,0.0
Stephen Jackson,SAS,2012,14,299,14.9,4.7,0.5
LeBron James,MIA,2012,23,983,30.3,10.5,3.1
Al Jefferson,UTA,2012,4,141,21.1,6.1,0.3
Jared Jeffries,NYK,2012,5,34,3.9,-6.0,0.0
Yi Jianlian,DAL,2012,1,5,15.0,3.9,0.0
Ivan Johnson,ATL,2012,5,54,7.9,-4.1,0.0
Joe Johnson,ATL,2012,6,243,11.7,0.7,0.2
Dahntay Jones,IND,2012,7,58,4.6,-5.8,-0.1
James Jones,MIA,2012,20,173,9.8,-0.1,0.1
DeAndre Jordan,LAC,2012,11,249,12.7,-0.2,0.1
Jerome Jordan,NYK,2012,1,4,36.1,8.6,0.0
Jason Kidd*,DAL,2012,4,144,16.7,5.6,0.3
Kyle Korver,CHI,2012,6,94,9.1,-0.2,0.0
Kosta Koufos,DEN,2012,3,26,2.1,-11.3,-0.1
Ty Lawson,DEN,2012,7,242,23.2,6.4,0.5
Kawhi Leonard,SAS,2012,14,379,15.1,3.7,0.5
John Lucas III,CHI,2012,5,94,11.8,-0.2,0.0
Ian Mahinmi,DAL,2012,4,70,23.5,5.1,0.1
Shawn Marion,DAL,2012,4,140,11.4,-1.4,0.0
Kenyon Martin,LAC,2012,11,193,12.9,1.1,0.2
O.J. Mayo,MEM,2012,7,163,7.7,-3.2,0.0
JaVale McGee,DEN,2012,7,181,20.3,2.9,0.2
Tracy McGrady*,ATL,2012,6,90,6.5,-3.6,0.0
Josh McRoberts,LAL,2012,6,16,-1.7,-9.7,0.0
Jodie Meeks,PHI,2012,13,102,10.3,-1.2,0.0
Andre Miller,DEN,2012,7,200,18.4,2.7,0.2
Mike Miller,MIA,2012,23,368,12.0,1.5,0.3
Patty Mills,SAS,2012,8,31,19.3,4.6,0.1
Paul Millsap,UTA,2012,4,139,11.5,-2.4,0.0
Nazr Mohammed,OKC,2012,8,83,7.1,-7.0,-0.1
E'Twaun Moore,BOS,2012,9,21,3.1,-7.8,0.0
Darius Morris,LAL,2012,4,8,63.2,30.6,0.1
Timofey Mozgov,DEN,2012,7,99,11.9,-3.2,0.0
Troy Murphy,LAL,2012,4,15,5.4,-4.3,0.0
Gary Neal,SAS,2012,14,217,14.6,1.3,0.2
Jameer Nelson,ORL,2012,5,182,15.7,1.5,0.2
Joakim Noah,CHI,2012,3,99,28.7,11.9,0.4
Steve Novak,NYK,2012,5,95,4.8,-1.8,0.0
Dirk Nowitzki*,DAL,2012,4,154,22.5,3.2,0.2
Daniel Orton,ORL,2012,4,9,20.0,3.0,0.0
Jannero Pargo,ATL,2012,5,46,7.2,-0.5,0.0
Tony Parker*,SAS,2012,14,506,19.4,1.1,0.4
Chris Paul,LAC,2012,11,423,20.0,3.7,0.6
Sasha PavloviÄ,BOS,2012,10,40,1.0,-7.0,-0.1
Kendrick Perkins,OKC,2012,20,517,8.0,-3.2,-0.2
Paul Pierce*,BOS,2012,20,778,16.1,2.4,0.9
MickaÃ«l PiÃ©trus,BOS,2012,20,393,4.3,-3.3,-0.1
Dexter Pittman,MIA,2012,3,8,-5.5,-6.1,0.0
Quincy Pondexter,MEM,2012,7,114,12.5,2.4,0.1
A.J. Price,IND,2012,4,7,21.4,5.8,0.0
Vladimir RadmanoviÄ,ATL,2012,2,15,-11.9,-15.2,0.0
Zach Randolph,MEM,2012,7,248,15.0,-0.3,0.1
JJ Redick,ORL,2012,5,123,15.3,1.4,0.1
Jason Richardson,ORL,2012,5,148,12.6,1.0,0.1
Quentin Richardson,ORL,2012,5,74,2.1,-6.7,-0.1
Rajon Rondo,BOS,2012,19,810,22.0,6.4,1.7
Derrick Rose,CHI,2012,1,37,22.9,5.4,0.1
Thabo Sefolosha,OKC,2012,20,446,11.7,2.2,0.5
Josh Selby,MEM,2012,1,0,,-5.2,0.0
Ramon Sessions,LAL,2012,12,380,8.2,-6.3,-0.4
Iman Shumpert,NYK,2012,1,19,-5.9,-10.2,0.0
Xavier Silas,PHI,2012,2,4,37.9,16.2,0.0
Bobby Simmons,LAC,2012,4,32,5.9,-6.2,0.0
Ish Smith,ORL,2012,1,5,11.7,9.3,0.0
J.R. Smith,NYK,2012,5,175,5.4,-3.3,-0.1
Josh Smith,ATL,2012,5,196,15.8,3.1,0.3
Marreese Speights,MEM,2012,7,100,19.1,0.5,0.1
Tiago Splitter,SAS,2012,13,168,16.6,1.2,0.1
Lance Stephenson,IND,2012,4,12,-11.0,-22.5,-0.1
Greg Stiemsma,BOS,2012,19,143,14.3,2.6,0.2
Julyan Stone,DEN,2012,2,5,33.2,12.3,0.0
Amar'e Stoudemire,NYK,2012,4,139,16.9,1.8,0.1
Jeff Teague,ATL,2012,6,225,14.3,2.8,0.3
Jason Terry,DAL,2012,4,139,12.5,-0.1,0.1
Jamaal Tinsley,UTA,2012,4,65,3.3,-7.9,-0.1
Ronny Turiaf,MIA,2012,12,121,8.4,-2.7,0.0
Hedo TÃ¼rkoÄlu,ORL,2012,5,162,7.7,-3.2,-0.1
Evan Turner,PHI,2012,13,449,9.0,-3.1,-0.1
Nikola VuÄeviÄ,PHI,2012,1,3,0.6,-14.9,0.0
Dwyane Wade*,MIA,2012,23,907,22.0,5.3,1.7
Von Wafer,ORL,2012,1,6,23.2,0.8,0.0
C.J. Watson,CHI,2012,6,164,7.3,-3.1,0.0
David West,IND,2012,11,416,15.7,1.5,0.4
Delonte West,DAL,2012,4,88,13.5,0.9,0.1
Russell Westbrook,OKC,2012,20,767,22.6,3.4,1.0
Lou Williams,PHI,2012,13,358,12.8,0.2,0.2
Marvin Williams,ATL,2012,6,145,12.4,2.2,0.2
Mo Williams,LAC,2012,11,229,14.2,0.6,0.2
Sean Williams,BOS,2012,2,6,-10.5,-17.0,0.0
Metta World Peace,LAL,2012,6,236,12.6,2.8,0.3
Brandan Wright,DAL,2012,4,27,2.7,-8.8,0.0
Nick Young,LAC,2012,11,200,13.9,1.1,0.2
Sam Young,PHI,2012,2,4,-21.3,-25.0,0.0
Thaddeus Young,PHI,2012,13,277,14.5,0.3,0.2
Ray Allen*,MIA,2013,23,573,14.4,0.7,0.4
Tony Allen,MEM,2013,15,422,17.7,4.2,0.7
Chris Andersen,MIA,2013,20,303,24.9,5.5,0.6
James Anderson,HOU,2013,2,18,-1.4,-10.7,0.0
Carmelo Anthony*,NYK,2013,12,481,20.4,2.9,0.6
Joel Anthony,MIA,2013,14,71,6.4,-5.6,-0.1
Darrell Arthur,MEM,2013,15,175,11.1,-2.3,0.0
Ãmer AÅÄ±k,HOU,2013,6,208,16.9,1.0,0.2
D.J. Augustin,IND,2013,19,316,9.7,-0.3,0.1
Gustavo AyÃ³n,MIL,2013,3,7,14.1,-3.6,0.0
Jeff Ayres,IND,2013,9,71,2.0,-9.5,-0.1
Harrison Barnes,GSW,2013,12,461,13.8,0.4,0.3
Matt Barnes,LAC,2013,6,162,18.4,3.1,0.2
Brandon Bass,BOS,2013,6,204,9.3,-0.8,0.1
Shane Battier,MIA,2013,22,392,7.4,-2.0,0.0
Jerryd Bayless,MEM,2013,15,320,11.5,-0.7,0.1
Aron Baynes,SAS,2013,4,23,10.6,-7.5,0.0
Kent Bazemore,GSW,2013,9,16,-13.7,-24.4,-0.1
Marco Belinelli,CHI,2013,12,325,13.7,0.5,0.2
Patrick Beverley,HOU,2013,6,200,14.6,2.2,0.2
Andris BiedriÅÅ¡,GSW,2013,3,17,6.4,-2.4,0.0
Chauncey Billups*,LAC,2013,6,115,5.7,-5.9,-0.1
DeJuan Blair,SAS,2013,12,76,31.2,7.5,0.2
Steve Blake,LAL,2013,2,75,12.1,1.7,0.1
Andray Blatche,BRK,2013,7,138,21.7,3.0,0.2
Eric Bledsoe,LAC,2013,6,97,19.8,5.5,0.2
Keith Bogans,BRK,2013,2,23,-2.3,-8.4,0.0
Andrew Bogut,GSW,2013,12,327,16.1,2.3,0.3
Matt Bonner,SAS,2013,20,267,12.7,1.2,0.2
Carlos Boozer,CHI,2013,12,431,16.7,-0.4,0.2
Chris Bosh*,MIA,2013,23,751,16.8,1.9,0.7
Avery Bradley,BOS,2013,6,191,6.7,-2.0,0.0
Corey Brewer,DEN,2013,6,146,7.3,-5.4,-0.1
Ronnie Brewer,OKC,2013,1,8,-0.5,-3.1,0.0
Aaron Brooks,HOU,2013,6,67,11.7,-3.6,0.0
MarShon Brooks,BRK,2013,7,40,4.0,-6.8,0.0
Caron Butler,LAC,2013,6,136,10.2,-2.6,0.0
Jimmy Butler,CHI,2013,12,490,14.4,2.5,0.5
Marcus Camby,NYK,2013,3,3,27.2,-3.6,0.0
Mario Chalmers,MIA,2013,23,650,11.2,-1.6,0.1
Tyson Chandler,NYK,2013,12,350,12.8,-1.5,0.0
Wilson Chandler,DEN,2013,6,205,8.8,-2.5,0.0
Earl Clark,LAL,2013,4,82,1.2,-9.5,-0.2
Norris Cole,MIA,2013,21,418,12.4,0.9,0.3
Nick Collison,OKC,2013,11,178,16.1,1.8,0.2
Mike Conley,MEM,2013,15,575,18.8,4.6,0.9
Daequan Cook,CHI,2013,6,36,-9.2,-14.2,-0.1
Chris Copeland,NYK,2013,9,93,13.7,3.1,0.1
Jamal Crawford,LAC,2013,6,161,12.5,-1.3,0.0
Jordan Crawford,BOS,2013,5,59,1.6,-6.9,-0.1
Stephen Curry,GSW,2013,12,497,20.5,4.7,0.8
Samuel Dalembert,MIL,2013,1,9,-15.5,-26.4,-0.1
Marquis Daniels,MIL,2013,3,33,14.9,1.0,0.0
Ed Davis,MEM,2013,8,48,7.8,-6.9,-0.1
Austin Daye,MEM,2013,4,20,4.1,-8.5,0.0
Nando De Colo,SAS,2013,5,14,17.0,-0.2,0.0
Carlos Delfino,HOU,2013,5,120,11.8,2.3,0.1
Luol Deng,CHI,2013,5,224,8.3,-4.1,-0.1
Boris Diaw,SAS,2013,16,273,10.1,0.3,0.2
Keyon Dooling,MEM,2013,14,114,4.4,-5.5,-0.1
Chris Duhon,LAL,2013,2,68,5.5,-4.9,0.0
Tim Duncan*,SAS,2013,21,735,21.3,2.9,0.9
Mike Dunleavy,MIL,2013,4,91,24.7,9.2,0.3
Kevin Durant,OKC,2013,11,485,26.0,9.3,1.4
Monta Ellis,MIL,2013,4,152,12.3,-0.3,0.1
Reggie Evans,BRK,2013,7,209,12.3,0.2,0.1
Festus Ezeli,GSW,2013,12,134,6.4,-4.6,-0.1
Kenneth Faried,DEN,2013,5,145,15.6,0.2,0.1
Raymond Felton,NYK,2013,12,454,16.5,2.9,0.5
Derek Fisher,OKC,2013,11,261,11.2,1.8,0.3
Evan Fournier,DEN,2013,4,53,4.1,-7.5,-0.1
Francisco GarcÃ­a,HOU,2013,6,164,14.4,3.7,0.2
Kevin Garnett*,BOS,2013,6,212,17.3,3.4,0.3
Marc Gasol,MEM,2013,15,609,19.4,5.1,1.1
Pau Gasol*,LAL,2013,4,146,17.9,3.9,0.2
Paul George,IND,2013,19,780,16.6,3.7,1.1
Taj Gibson,CHI,2013,12,206,12.3,-3.5,-0.1
Manu GinÃ³bili*,SAS,2013,21,560,16.5,2.8,0.7
Andrew Goudelock,LAL,2013,3,80,12.4,-3.1,0.0
Danny Green,SAS,2013,21,669,15.2,4.8,1.1
Draymond Green,GSW,2013,12,223,13.9,3.1,0.3
Gerald Green,IND,2013,9,105,12.9,0.7,0.1
Jeff Green,BOS,2013,6,258,14.7,1.0,0.2
Willie Green,LAC,2013,3,20,21.6,9.7,0.1
Blake Griffin,LAC,2013,6,158,16.3,-0.4,0.1
Jordan Hamilton,DEN,2013,1,2,-19.7,-24.8,0.0
Richard Hamilton,CHI,2013,4,68,7.6,-0.9,0.0
Ben Hansbrough,IND,2013,6,22,-6.4,-11.4,-0.1
Tyler Hansbrough,IND,2013,19,241,11.4,-4.1,-0.1
James Harden,HOU,2013,6,243,20.8,5.3,0.5
Devin Harris,ATL,2013,6,225,9.3,-2.3,0.0
Udonis Haslem,MIA,2013,22,357,14.2,-0.3,0.2
John Henson,MIL,2013,4,33,-0.1,-10.4,-0.1
Roy Hibbert,IND,2013,19,694,21.2,2.9,0.9
George Hill,IND,2013,18,685,14.6,2.7,0.8
Grant Hill*,LAC,2013,1,20,7.4,-3.0,0.0
Jordan Hill,LAL,2013,3,31,17.7,1.1,0.0
Kirk Hinrich,CHI,2013,4,162,12.7,0.7,0.1
Ryan Hollins,LAC,2013,5,37,9.7,-3.8,0.0
Al Horford,ATL,2013,6,218,19.1,3.6,0.3
Dwight Howard*,LAL,2013,4,126,19.0,-0.6,0.0
Kris Humphries,BRK,2013,7,83,13.6,-4.3,0.0
Serge Ibaka,OKC,2013,11,366,17.1,0.8,0.3
Andre Iguodala,DEN,2013,6,243,19.9,6.6,0.5
Ersan Ä°lyasova,MIL,2013,4,117,15.9,0.5,0.1
Jarrett Jack,GSW,2013,12,426,17.4,1.0,0.3
Reggie Jackson,OKC,2013,11,368,15.4,2.4,0.4
LeBron James,MIA,2013,23,960,28.1,10.4,3.0
Antawn Jamison,LAL,2013,4,79,10.0,-2.3,0.0
Richard Jefferson,GSW,2013,7,39,12.2,0.1,0.0
John Jenkins,ATL,2013,4,24,-5.7,-13.3,-0.1
Brandon Jennings,MIL,2013,4,133,9.9,-2.8,0.0
Ivan Johnson,ATL,2013,6,108,11.3,-2.6,0.0
Joe Johnson,BRK,2013,7,271,11.7,-1.8,0.0
Orlando Johnson,IND,2013,12,28,1.9,-5.7,0.0
Dahntay Jones,ATL,2013,5,19,0.2,-10.4,0.0
Dwayne Jones,GSW,2013,2,2,0.0,-9.7,0.0
James Jones,MIA,2013,9,33,6.0,-1.9,0.0
Perry Jones,OKC,2013,1,5,-5.4,-10.2,0.0
Terrence Jones,HOU,2013,2,35,10.9,-3.1,0.0
DeAndre Jordan,LAC,2013,6,144,7.3,-4.5,-0.1
Cory Joseph,SAS,2013,20,192,13.2,-0.5,0.1
Jason Kidd*,NYK,2013,12,247,5.1,-2.1,0.0
Kyle Korver,ATL,2013,6,177,10.1,-0.6,0.1
Kosta Koufos,DEN,2013,6,100,10.0,-1.0,0.0
Carl Landry,GSW,2013,12,246,21.3,2.2,0.3
Ty Lawson,DEN,2013,6,236,20.4,3.5,0.3
Courtney Lee,BOS,2013,4,39,6.6,-2.1,0.0
David Lee,GSW,2013,6,65,16.5,2.2,0.1
Kawhi Leonard,SAS,2013,21,775,18.9,5.1,1.4
Jon Leuer,MEM,2013,5,11,21.4,6.4,0.0
Rashard Lewis,MIA,2013,11,47,6.7,-7.4,-0.1
DeAndre Liggins,OKC,2013,8,68,3.2,-4.7,0.0
Jeremy Lin,HOU,2013,4,84,-0.4,-9.7,-0.2
Brook Lopez,BRK,2013,7,263,25.2,3.6,0.4
Scott Machado,GSW,2013,5,8,6.8,-11.4,0.0
Shelvin Mack,ATL,2013,4,22,32.1,14.2,0.1
Ian Mahinmi,IND,2013,18,150,7.6,-3.7,-0.1
Kenyon Martin,NYK,2013,12,253,16.2,2.8,0.3
Kevin Martin,OKC,2013,11,323,14.2,0.4,0.2
Luc Mbah a Moute,MIL,2013,4,136,9.3,-2.0,0.0
JaVale McGee,DEN,2013,6,112,14.1,-3.6,0.0
Tracy McGrady*,SAS,2013,6,31,7.0,-3.1,0.0
Jodie Meeks,LAL,2013,1,20,1.6,-6.7,0.0
Andre Miller,DEN,2013,6,154,16.3,-0.3,0.1
Mike Miller,MIA,2013,17,232,12.1,2.8,0.3
Patty Mills,SAS,2013,9,31,13.5,-0.3,0.0
Nazr Mohammed,CHI,2013,12,114,20.0,1.6,0.1
Darius Morris,LAL,2013,4,105,13.0,-1.8,0.0
Donatas MotiejÅ«nas,HOU,2013,1,5,53.6,25.0,0.0
Steve Nash*,LAL,2013,2,61,14.5,-1.0,0.0
Gary Neal,SAS,2013,21,390,9.0,-2.9,-0.1
Joakim Noah,CHI,2013,12,409,16.7,0.9,0.3
Steve Novak,NYK,2013,9,50,15.1,3.4,0.1
Lamar Odom,LAC,2013,6,107,10.4,0.8,0.1
Tony Parker*,SAS,2013,21,765,21.5,3.8,1.1
Chandler Parsons,HOU,2013,6,238,13.5,0.5,0.1
Chris Paul,LAC,2013,6,224,29.2,9.7,0.7
Kendrick Perkins,OKC,2013,11,210,-0.6,-8.5,-0.3
Johan Petro,ATL,2013,6,101,10.5,-1.8,0.0
Paul Pierce*,BOS,2013,6,255,10.6,-1.6,0.0
Quincy Pondexter,MEM,2013,15,357,14.3,3.4,0.5
Pablo Prigioni,NYK,2013,11,230,13.8,3.4,0.3
Tayshaun Prince,MEM,2013,15,454,7.7,-2.0,0.0
Vladimir RadmanoviÄ,CHI,2013,1,10,53.8,39.4,0.1
Anthony Randolph,DEN,2013,5,30,34.1,9.6,0.1
Shavlik Randolph,BOS,2013,1,3,8.7,-3.0,0.0
Zach Randolph,MEM,2013,15,554,17.7,0.4,0.3
JJ Redick,MIL,2013,4,69,8.3,-4.4,0.0
Quentin Richardson,NYK,2013,5,14,12.6,0.7,0.0
Nate Robinson,CHI,2013,12,404,15.6,0.4,0.2
Robert Sacre,LAL,2013,2,4,10.7,2.4,0.0
Larry Sanders,MIL,2013,4,113,14.3,-2.7,0.0
Mike Scott,ATL,2013,4,20,25.2,3.3,0.0
Thabo Sefolosha,OKC,2013,11,300,10.5,1.5,0.3
Iman Shumpert,NYK,2013,12,337,14.2,2.3,0.4
Greg Smith,HOU,2013,5,59,13.0,-1.1,0.0
Ish Smith,MIL,2013,4,11,0.8,-9.9,0.0
J.R. Smith,NYK,2013,11,351,10.7,-1.9,0.0
Josh Smith,ATL,2013,6,199,17.3,3.0,0.3
Tiago Splitter,SAS,2013,19,388,13.5,0.6,0.2
Jerry Stackhouse,BRK,2013,4,28,-8.1,-17.0,-0.1
Lance Stephenson,IND,2013,19,673,11.3,0.9,0.5
DeShawn Stevenson,ATL,2013,4,45,9.2,-1.5,0.0
Julyan Stone,DEN,2013,2,13,5.9,-3.1,0.0
Amar'e Stoudemire,NYK,2013,4,33,9.8,-6.9,0.0
Tyshawn Taylor,BRK,2013,2,2,-21.7,-27.0,0.0
Jeff Teague,ATL,2013,6,213,10.9,-2.6,0.0
Marquis Teague,CHI,2013,8,72,4.4,-4.9,-0.1
Mirza TeletoviÄ,BRK,2013,1,1,0.0,-4.4,0.0
Jason Terry,BOS,2013,6,189,14.8,3.5,0.3
Hasheem Thabeet,OKC,2013,4,26,-0.7,-7.9,0.0
Malcolm Thomas,CHI,2013,3,6,31.8,4.5,0.0
Klay Thompson,GSW,2013,12,495,10.1,-1.2,0.1
Anthony Tolliver,ATL,2013,6,68,15.2,5.2,0.1
Ronny Turiaf,LAC,2013,5,59,11.0,-1.5,0.0
Ekpe Udoh,MIL,2013,4,54,9.1,-1.2,0.0
Dwyane Wade*,MIA,2013,22,782,18.7,3.1,1.0
Gerald Wallace,BRK,2013,7,243,14.0,2.5,0.3
C.J. Watson,BRK,2013,7,161,15.3,1.2,0.1
David West,IND,2013,19,689,16.1,1.7,0.6
Russell Westbrook,OKC,2013,2,68,25.6,3.8,0.1
James White,NYK,2013,4,9,17.0,-2.8,0.0
Chris Wilcox,BOS,2013,2,6,5.0,-3.4,0.0
Deron Williams,BRK,2013,7,292,20.6,4.4,0.5
Terrence Williams,BOS,2013,5,48,0.6,-7.9,-0.1
Metta World Peace,LAL,2013,3,84,4.5,-5.7,-0.1
Tony Wroten,MEM,2013,6,17,5.4,-8.0,0.0
Sam Young,IND,2013,15,130,8.1,-1.1,0.0
Steven Adams,OKC,2014,18,331,11.0,-0.2,0.2
LaMarcus Aldridge,POR,2014,11,441,21.0,2.1,0.4
Lavoy Allen,IND,2014,4,15,14.3,-0.2,0.0
Ray Allen*,MIA,2014,20,527,12.8,0.2,0.3
Tony Allen,MEM,2014,7,230,15.6,2.1,0.2
Chris Andersen,MIA,2014,18,317,17.7,1.2,0.3
Alan Anderson,BRK,2014,12,261,9.3,-1.8,0.0
Pero AntiÄ,ATL,2014,7,170,-1.1,-9.8,-0.3
Trevor Ariza,WAS,2014,11,407,17.6,5.2,0.7
Hilton Armstrong,GSW,2014,7,17,5.4,-12.3,0.0
Ãmer AÅÄ±k,HOU,2014,6,163,9.1,-4.0,-0.1
D.J. Augustin,CHI,2014,5,141,9.5,-3.0,0.0
Jeff Ayres,SAS,2014,17,65,13.0,1.0,0.1
Harrison Barnes,GSW,2014,7,156,9.9,0.0,0.1
Matt Barnes,LAC,2014,13,404,9.7,-0.5,0.2
Will Barton,POR,2014,7,81,17.4,6.0,0.2
Shane Battier,MIA,2014,16,202,5.8,-2.0,0.0
Nicolas Batum,POR,2014,11,459,14.5,3.3,0.6
Aron Baynes,SAS,2014,14,101,11.5,-3.5,0.0
Bradley Beal,WAS,2014,11,458,17.0,4.7,0.8
Michael Beasley,MIA,2014,4,23,14.6,-2.0,0.0
Marco Belinelli,SAS,2014,23,356,11.0,-1.4,0.1
Patrick Beverley,HOU,2014,6,202,8.9,-1.0,0.0
Bismack Biyombo,CHA,2014,3,48,11.2,-1.6,0.0
DeJuan Blair,DAL,2014,6,81,28.8,7.4,0.2
Steve Blake,GSW,2014,6,45,3.1,-6.3,0.0
Andray Blatche,BRK,2014,12,172,19.7,-1.2,0.0
Matt Bonner,SAS,2014,22,136,8.8,2.2,0.1
Trevor Booker,WAS,2014,9,146,12.6,-0.4,0.1
Carlos Boozer,CHI,2014,5,121,11.7,-3.4,0.0
Chris Bosh*,MIA,2014,20,686,18.2,2.1,0.7
Elton Brand,ATL,2014,7,81,9.8,0.5,0.1
Reggie Bullock,LAC,2014,2,5,23.0,12.8,0.0
Caron Butler,OKC,2014,18,419,6.8,-2.7,-0.1
Jimmy Butler,CHI,2014,5,218,11.4,0.3,0.1
Rasual Butler,IND,2014,11,70,9.1,0.7,0.0
JosÃ© CalderÃ³n,DAL,2014,7,191,13.1,0.7,0.1
DeMarre Carroll,ATL,2014,7,246,10.0,-0.3,0.1
Vince Carter*,DAL,2014,7,190,17.5,5.1,0.3
Mario Chalmers,MIA,2014,20,535,10.2,-1.8,0.0
Victor Claver,POR,2014,2,7,-9.7,-14.6,0.0
Norris Cole,MIA,2014,20,404,7.3,-3.2,-0.1
Darren Collison,LAC,2014,13,249,13.9,-0.7,0.1
Nick Collison,OKC,2014,17,183,9.4,-0.3,0.1
Mike Conley,MEM,2014,7,267,17.7,3.9,0.4
Chris Copeland,IND,2014,12,82,10.6,-2.3,0.0
Jamal Crawford,LAC,2014,13,313,16.7,2.6,0.4
Jordan Crawford,GSW,2014,6,57,11.0,-5.4,0.0
Jae Crowder,DAL,2014,7,81,6.9,-2.5,0.0
Stephen Curry,GSW,2014,7,296,18.8,4.4,0.5
Samuel Dalembert,DAL,2014,7,135,17.2,0.4,0.1
Troy Daniels,HOU,2014,4,68,17.5,5.0,0.1
Ed Davis,MEM,2014,7,25,16.9,-4.9,0.0
Glen Davis,LAC,2014,13,158,13.1,0.2,0.1
Austin Daye,SAS,2014,1,6,-11.5,-18.7,0.0
Nando De Colo,TOR,2014,1,4,-5.4,-15.0,0.0
DeMar DeRozan,TOR,2014,7,282,18.2,2.1,0.3
Boris Diaw,SAS,2014,23,604,15.3,3.8,0.9
Toney Douglas,MIA,2014,10,29,12.9,2.8,0.0
Chris Douglas-Roberts,CHA,2014,4,70,18.9,3.1,0.1
